term	power	df	sumsq	meansq	statistic	p.value	etasq	partial.etasq	omegasq	partial.omegasq	cohens.f	condition	trait	strain1	strain2
Strain	0.05	1	0.004	0.004	0.002	0.963	0	0	-0.03	-0.03	0.008	arsenic4	PC2	JU775	N2
Strain	0.968	3	32.186	10.729	6.333	0.001	0.221	0.221	0.184	0.184	0.533	arsenic4	PC2	ALL	ALL
Strain	0.993	1	6.023	6.023	19.542	0	0.346	0.346	0.322	0.322	0.727	arsenic1	PC3	CB4856	DL238
Strain	0.948	1	2.997	2.997	12.854	0.001	0.258	0.258	0.233	0.233	0.589	arsenic1	PC3	CB4856	JU775
Strain	0.277	1	0.342	0.342	1.864	0.18	0.047	0.047	0.021	0.021	0.221	arsenic1	PC3	CB4856	N2
Strain	0.317	1	0.51	0.51	2.197	0.147	0.058	0.058	0.031	0.031	0.247	arsenic1	PC3	DL238	JU775
Strain	0.993	1	3.522	3.522	19.43	0	0.344	0.344	0.321	0.321	0.725	arsenic1	PC3	DL238	N2
Strain	0.943	1	1.331	1.331	12.534	0.001	0.253	0.253	0.228	0.228	0.582	arsenic1	PC3	JU775	N2
Strain	1	3	7.361	2.454	11.841	0	0.324	0.324	0.294	0.294	0.693	arsenic1	PC3	ALL	ALL
Strain	1	1	7.394	7.394	46.708	0	0.565	0.565	0.546	0.546	1.139	arsenic2	PC3	CB4856	DL238
Strain	0.987	1	2.714	2.714	17.582	0	0.316	0.316	0.293	0.293	0.68	arsenic2	PC3	CB4856	JU775
Strain	0.11	1	0.075	0.075	0.511	0.479	0.013	0.013	-0.012	-0.012	0.116	arsenic2	PC3	CB4856	N2
Strain	0.918	1	1.244	1.244	11.257	0.002	0.238	0.238	0.213	0.213	0.559	arsenic2	PC3	DL238	JU775
Strain	1	1	6.015	6.015	58.637	0	0.62	0.62	0.603	0.603	1.276	arsenic2	PC3	DL238	N2
Strain	0.991	1	1.887	1.887	18.572	0	0.328	0.328	0.305	0.305	0.699	arsenic2	PC3	JU775	N2
Strain	1	3	9.537	3.179	24.609	0	0.499	0.499	0.476	0.476	0.999	arsenic2	PC3	ALL	ALL
Strain	0.971	1	2.601	2.601	14.841	0	0.281	0.281	0.257	0.257	0.625	arsenic3	PC3	CB4856	DL238
Strain	0.117	1	0.063	0.063	0.568	0.456	0.015	0.015	-0.011	-0.011	0.122	arsenic3	PC3	CB4856	JU775
Strain	0.862	1	1.08	1.08	9.292	0.004	0.196	0.196	0.172	0.172	0.495	arsenic3	PC3	CB4856	N2
Strain	0.941	1	1.853	1.853	12.421	0.001	0.246	0.246	0.222	0.222	0.572	arsenic3	PC3	DL238	JU775
Strain	1	1	7.033	7.033	45.648	0	0.546	0.546	0.527	0.527	1.096	arsenic3	PC3	DL238	N2
Strain	0.99	1	1.666	1.666	18.485	0	0.327	0.327	0.304	0.304	0.697	arsenic3	PC3	JU775	N2
Strain	1	3	7.148	2.383	17.956	0	0.415	0.415	0.389	0.389	0.842	arsenic3	PC3	ALL	ALL
Strain	0.051	1	0.002	0.002	0.007	0.936	0	0	-0.028	-0.028	0.014	arsenic4	PC3	CB4856	DL238
Strain	0.22	1	0.228	0.228	1.4	0.245	0.038	0.038	0.011	0.011	0.2	arsenic4	PC3	CB4856	JU775
Strain	0.959	1	2.231	2.231	13.686	0.001	0.281	0.281	0.255	0.255	0.625	arsenic4	PC3	CB4856	N2
Strain	0.117	1	0.176	0.176	0.569	0.456	0.017	0.017	-0.013	-0.013	0.133	arsenic4	PC3	DL238	JU775
Strain	0.709	1	1.951	1.951	6.302	0.017	0.165	0.165	0.135	0.135	0.444	arsenic4	PC3	DL238	N2
Strain	0.584	1	0.955	0.955	4.716	0.037	0.128	0.128	0.099	0.099	0.384	arsenic4	PC3	JU775	N2
Strain	0.835	3	2.758	0.919	3.947	0.012	0.15	0.15	0.111	0.111	0.42	arsenic4	PC3	ALL	ALL
