Condition	Strain	Trait	Value
arsenictrioxide	QX375	norm.n	-25.8608888607855
arsenictrioxide	QX554	norm.n	-41.4881687163656
arsenictrioxide	QX559	norm.n	-11.7718890689835
arsenictrioxide	QX348	norm.n	18.5707638675346
arsenictrioxide	QX588	mean.norm.EXT	0.0223365689883613
arsenictrioxide	QX423	mean.norm.EXT	-0.234881525763829
arsenictrioxide	QX341	mean.norm.EXT	-0.0467885678936711
arsenictrioxide	QX430	mean.norm.EXT	0.224502959345704
arsenictrioxide	QX429	mean.norm.EXT	0.025393699609186
arsenictrioxide	QX373	mean.norm.EXT	-0.141659952259884
arsenictrioxide	QX588	mean.norm.yellow	-0.0108507758374808
arsenictrioxide	QX423	mean.norm.yellow	-0.157566566873654
arsenictrioxide	QX341	mean.norm.yellow	-0.0884242595586812
arsenictrioxide	QX430	mean.norm.yellow	0.130034911880392
arsenictrioxide	QX429	mean.norm.yellow	0.0239769395737145
arsenictrioxide	QX373	mean.norm.yellow	-0.0819007538958487
arsenictrioxide	QX588	mean.TOF	2.51501735361518
arsenictrioxide	QX423	mean.TOF	-18.3885565237831
arsenictrioxide	QX341	mean.TOF	-7.67804642678133
arsenictrioxide	QX430	mean.TOF	3.98918041211134
arsenictrioxide	QX429	mean.TOF	-7.82299936080877
arsenictrioxide	QX373	mean.TOF	-17.8474527984499
arsenictrioxide	QX588	norm.n	20.8349541429896
arsenictrioxide	QX423	norm.n	-5.5637525546836
arsenictrioxide	QX341	norm.n	-5.49015548389906
arsenictrioxide	QX430	norm.n	21.2306015603236
arsenictrioxide	QX429	norm.n	43.0376790933832
arsenictrioxide	QX373	norm.n	-9.5149110132489
arsenictrioxide	QX463	mean.norm.EXT	-0.144230826563508
arsenictrioxide	QX326	mean.norm.EXT	0.119803281622081
arsenictrioxide	QX393	mean.norm.EXT	-0.0359223329637956
arsenictrioxide	QX514	mean.norm.EXT	-0.189095355420727
arsenictrioxide	QX386	mean.norm.EXT	0.145940754952625
arsenictrioxide	QX463	mean.norm.yellow	-0.0771383360361794
arsenictrioxide	QX326	mean.norm.yellow	-0.0248384230450916
arsenictrioxide	QX393	mean.norm.yellow	0.0788366095091767
arsenictrioxide	QX514	mean.norm.yellow	-0.0929083830501471
arsenictrioxide	QX386	mean.norm.yellow	0.088793613297667
arsenictrioxide	QX463	mean.TOF	2.99003819141325
arsenictrioxide	QX326	mean.TOF	-4.17124878715174
arsenictrioxide	QX393	mean.TOF	31.2068531629018
arsenictrioxide	QX514	mean.TOF	-36.329190909021
arsenictrioxide	QX386	mean.TOF	46.7461822778237
arsenictrioxide	QX463	norm.n	-9.85089103215391
arsenictrioxide	QX326	norm.n	-4.59575484335893
arsenictrioxide	QX393	norm.n	56.0980924212978
arsenictrioxide	QX514	norm.n	-22.1060738741168
arsenictrioxide	QX386	norm.n	29.8682945993144
arsenictrioxide	QX380	mean.norm.EXT	0.0934589677405807
arsenictrioxide	QX485	mean.norm.EXT	0.20425863492205
arsenictrioxide	QX455	mean.norm.EXT	-0.0995447938386722
arsenictrioxide	QX436	mean.norm.EXT	0.162470135908558
arsenictrioxide	QX355	mean.norm.EXT	-0.391480494125662
arsenictrioxide	QX380	mean.norm.yellow	-0.0530720534670081
arsenictrioxide	QX485	mean.norm.yellow	0.298769340452644
arsenictrioxide	QX455	mean.norm.yellow	-0.00849498018523503
arsenictrioxide	QX436	mean.norm.yellow	0.061216832097535
arsenictrioxide	QX355	mean.norm.yellow	-0.151752861652425
arsenictrioxide	QX380	mean.TOF	2.1897817618566
arsenictrioxide	QX485	mean.TOF	10.0966069698542
arsenictrioxide	QX455	mean.TOF	-6.29489663762236
arsenictrioxide	QX436	mean.TOF	24.6494451332126
arsenictrioxide	QX355	mean.TOF	-24.8752776355467
arsenictrioxide	QX380	norm.n	-28.3905857680199
arsenictrioxide	QX485	norm.n	20.3503010283662
arsenictrioxide	QX455	norm.n	28.7050711738766
arsenictrioxide	QX436	norm.n	31.5284553767111
arsenictrioxide	QX355	norm.n	-51.6352703993296
arsenictrioxide	QX266	mean.norm.EXT	0.139335742448706
arsenictrioxide	QX328	mean.norm.EXT	-0.0475855753272997
arsenictrioxide	QX325	mean.norm.EXT	0.211800228732824
arsenictrioxide	QX360	mean.norm.EXT	0.294608777351768
arsenictrioxide	QX266	mean.norm.yellow	0.0702568638825426
arsenictrioxide	QX328	mean.norm.yellow	-0.105458729620006
arsenictrioxide	QX325	mean.norm.yellow	0.0694386438542223
arsenictrioxide	QX360	mean.norm.yellow	0.107829008823074
arsenictrioxide	QX266	mean.TOF	9.29029173352627
arsenictrioxide	QX328	mean.TOF	-11.9754314391305
arsenictrioxide	QX325	mean.TOF	22.6665338941808
arsenictrioxide	QX360	mean.TOF	40.2809966922646
arsenictrioxide	QX266	norm.n	25.7340742887962
arsenictrioxide	QX328	norm.n	-10.2075459015958
arsenictrioxide	QX325	norm.n	8.08297149016712
arsenictrioxide	QX360	norm.n	-16.8946892385768
arsenictrioxide	QX517	mean.norm.EXT	-0.081519079918775
arsenictrioxide	QX277	mean.norm.EXT	-0.0179232199890264
arsenictrioxide	QX473	mean.norm.EXT	0.120218272264907
arsenictrioxide	QX467	mean.norm.EXT	-0.0942984251175582
arsenictrioxide	QX517	mean.norm.yellow	-0.0402159081518954
arsenictrioxide	QX277	mean.norm.yellow	0.137097429198722
arsenictrioxide	QX473	mean.norm.yellow	0.0312331422337765
arsenictrioxide	QX467	mean.norm.yellow	-0.106399226833008
arsenictrioxide	QX517	mean.TOF	0.932125053078996
arsenictrioxide	QX277	mean.TOF	-7.09996223308681
arsenictrioxide	QX473	mean.TOF	7.15616187409889
arsenictrioxide	QX467	mean.TOF	2.86546379782863
arsenictrioxide	QX517	norm.n	-1.61152746463554
arsenictrioxide	QX277	norm.n	30.1387167135366
arsenictrioxide	QX473	norm.n	11.5777600080743
arsenictrioxide	QX467	norm.n	-26.401397800523
