plate	condition	control	strain	row	col	trait	value
3	DMSO	NA	CB4856	A	7	q75.TOF	392.25
3	albendazole3125	DMSO	CB4856	A	8	q75.TOF	303.75
3	albendazole625	DMSO	CB4856	A	9	q75.TOF	292.5
3	DMSO	NA	DL238	B	1	q75.TOF	319
3	albendazole125	DMSO	Ju775	B	10	q75.TOF	260
3	albendazole25	DMSO	Ju775	B	11	q75.TOF	223.75
3	albendazole3125	DMSO	DL238	B	2	q75.TOF	288
3	albendazole625	DMSO	DL238	B	3	q75.TOF	278.75
3	albendazole125	DMSO	DL238	B	4	q75.TOF	225.25
3	albendazole25	DMSO	DL238	B	5	q75.TOF	214.5
3	DMSO	NA	Ju775	B	7	q75.TOF	372.25
3	albendazole625	DMSO	Ju775	B	9	q75.TOF	296.25
3	DMSO	NA	DL238	C	1	q75.TOF	285.5
3	albendazole125	DMSO	N2	C	10	q75.TOF	227
3	albendazole25	DMSO	N2	C	11	q75.TOF	170.5
3	albendazole3125	DMSO	DL238	C	2	q75.TOF	272
3	albendazole625	DMSO	DL238	C	3	q75.TOF	260
3	albendazole125	DMSO	DL238	C	4	q75.TOF	244.5
3	albendazole25	DMSO	DL238	C	5	q75.TOF	217.25
3	DMSO	NA	N2	C	7	q75.TOF	396.5
3	albendazole3125	DMSO	N2	C	8	q75.TOF	256
3	albendazole625	DMSO	N2	C	9	q75.TOF	232
3	DMSO	NA	Ju775	D	1	q75.TOF	285
3	albendazole125	DMSO	CB4856	D	10	q75.TOF	250.5
3	albendazole25	DMSO	CB4856	D	11	q75.TOF	178
3	albendazole3125	DMSO	Ju775	D	2	q75.TOF	273.5
3	albendazole625	DMSO	Ju775	D	3	q75.TOF	257
3	albendazole125	DMSO	Ju775	D	4	q75.TOF	250.5
3	albendazole25	DMSO	Ju775	D	5	q75.TOF	232.75
3	DMSO	NA	CB4856	D	7	q75.TOF	338
3	albendazole3125	DMSO	CB4856	D	8	q75.TOF	256
3	albendazole625	DMSO	CB4856	D	9	q75.TOF	260
3	DMSO	NA	Ju775	E	1	q75.TOF	318
3	albendazole125	DMSO	DL238	E	10	q75.TOF	239
3	albendazole25	DMSO	DL238	E	11	q75.TOF	193
3	albendazole3125	DMSO	Ju775	E	2	q75.TOF	299
3	albendazole625	DMSO	Ju775	E	3	q75.TOF	302.75
3	albendazole25	DMSO	Ju775	E	5	q75.TOF	243
3	albendazole3125	DMSO	DL238	E	8	q75.TOF	288.75
3	albendazole625	DMSO	DL238	E	9	q75.TOF	266
3	DMSO	NA	CB4856	F	1	q75.TOF	333.5
3	albendazole125	DMSO	N2	F	10	q75.TOF	224
3	albendazole25	DMSO	N2	F	11	q75.TOF	183
3	albendazole3125	DMSO	CB4856	F	2	q75.TOF	275.5
3	albendazole625	DMSO	CB4856	F	3	q75.TOF	269
3	albendazole125	DMSO	CB4856	F	4	q75.TOF	221.5
3	albendazole25	DMSO	CB4856	F	5	q75.TOF	191.5
3	DMSO	NA	N2	F	7	q75.TOF	365
3	albendazole3125	DMSO	N2	F	8	q75.TOF	230.75
3	albendazole625	DMSO	N2	F	9	q75.TOF	243
3	DMSO	NA	CB4856	G	1	q75.TOF	355.25
3	albendazole125	DMSO	Ju775	G	10	q75.TOF	264.75
3	albendazole25	DMSO	Ju775	G	11	q75.TOF	247
3	albendazole3125	DMSO	CB4856	G	2	q75.TOF	281.75
3	albendazole125	DMSO	CB4856	G	4	q75.TOF	232
3	albendazole25	DMSO	CB4856	G	5	q75.TOF	187
3	albendazole625	DMSO	Ju775	G	9	q75.TOF	285.5
3	DMSO	NA	N2	H	1	q75.TOF	345
3	albendazole625	DMSO	N2	H	3	q75.TOF	255
3	albendazole25	DMSO	N2	H	5	q75.TOF	159
3	DMSO	NA	DL238	H	7	q75.TOF	266
3	DMSO	NA	N2	A	1	q90.TOF	520.6
3	albendazole125	DMSO	CB4856	A	10	q90.TOF	282.5
3	albendazole25	DMSO	CB4856	A	11	q90.TOF	247.9
3	albendazole3125	DMSO	N2	A	2	q90.TOF	357
3	albendazole625	DMSO	N2	A	3	q90.TOF	307.6
3	albendazole125	DMSO	N2	A	4	q90.TOF	294.1
3	albendazole25	DMSO	N2	A	5	q90.TOF	237.6
3	DMSO	NA	CB4856	A	7	q90.TOF	526.2
3	albendazole3125	DMSO	CB4856	A	8	q90.TOF	368.5
3	albendazole625	DMSO	CB4856	A	9	q90.TOF	361.4
3	DMSO	NA	DL238	B	1	q90.TOF	482.8
3	albendazole125	DMSO	Ju775	B	10	q90.TOF	306
3	albendazole25	DMSO	Ju775	B	11	q90.TOF	277.4
3	albendazole3125	DMSO	DL238	B	2	q90.TOF	339
3	albendazole625	DMSO	DL238	B	3	q90.TOF	339.3
3	albendazole125	DMSO	DL238	B	4	q90.TOF	278.9
3	albendazole25	DMSO	DL238	B	5	q90.TOF	256
3	DMSO	NA	Ju775	B	7	q90.TOF	473.9
3	albendazole625	DMSO	Ju775	B	9	q90.TOF	336.5
3	DMSO	NA	DL238	C	1	q90.TOF	391.2
3	albendazole125	DMSO	N2	C	10	q90.TOF	263.5
3	albendazole25	DMSO	N2	C	11	q90.TOF	228
3	albendazole3125	DMSO	DL238	C	2	q90.TOF	325.1
3	albendazole625	DMSO	DL238	C	3	q90.TOF	335.5
3	albendazole125	DMSO	DL238	C	4	q90.TOF	296.8
3	albendazole25	DMSO	DL238	C	5	q90.TOF	254.5
3	DMSO	NA	N2	C	7	q90.TOF	511
3	albendazole3125	DMSO	N2	C	8	q90.TOF	315
3	albendazole625	DMSO	N2	C	9	q90.TOF	282
3	DMSO	NA	Ju775	D	1	q90.TOF	343.6
3	albendazole125	DMSO	CB4856	D	10	q90.TOF	309.8
3	albendazole25	DMSO	CB4856	D	11	q90.TOF	228.4
3	albendazole3125	DMSO	Ju775	D	2	q90.TOF	341.4
3	albendazole625	DMSO	Ju775	D	3	q90.TOF	297.1
3	albendazole125	DMSO	Ju775	D	4	q90.TOF	268.6
3	albendazole25	DMSO	Ju775	D	5	q90.TOF	269.5
3	DMSO	NA	CB4856	D	7	q90.TOF	463
3	albendazole3125	DMSO	CB4856	D	8	q90.TOF	326.6
3	albendazole625	DMSO	CB4856	D	9	q90.TOF	338
3	DMSO	NA	Ju775	E	1	q90.TOF	414.6
3	albendazole125	DMSO	DL238	E	10	q90.TOF	283.4
3	albendazole25	DMSO	DL238	E	11	q90.TOF	246.8
3	albendazole3125	DMSO	Ju775	E	2	q90.TOF	375.2
3	albendazole625	DMSO	Ju775	E	3	q90.TOF	356.4
3	albendazole25	DMSO	Ju775	E	5	q90.TOF	273.7
3	albendazole3125	DMSO	DL238	E	8	q90.TOF	349
3	albendazole625	DMSO	DL238	E	9	q90.TOF	325.5
3	DMSO	NA	CB4856	F	1	q90.TOF	417.1
3	albendazole125	DMSO	N2	F	10	q90.TOF	273.2
3	albendazole25	DMSO	N2	F	11	q90.TOF	238
