strain,condition,dose_µM,trait,phenotype,Broad_sense_heritability
JU258,XK469,0,q75.TOF,-37.4772727272727,2.47066616794178e-32
JU258,XK469,250,q75.TOF,19.2727272727273,0.166602813220112
JU258,XK469,500,q75.TOF,-66.4772727272727,0.467529251418624
JU258,XK469,1000,q75.TOF,-182.727272727273,0.899821825876178
DL238,XK469,0,q75.TOF,-47.7291666666667,2.47066616794178e-32
DL238,XK469,250,q75.TOF,-66.7291666666667,0.166602813220112
DL238,XK469,500,q75.TOF,-116.729166666667,0.467529251418624
DL238,XK469,1000,q75.TOF,-198.729166666667,0.899821825876178
N2,XK469,0,q75.TOF,-42.3541666666667,2.47066616794178e-32
N2,XK469,250,q75.TOF,-59.8541666666667,0.166602813220112
N2,XK469,500,q75.TOF,-133.354166666667,0.467529251418624
N2,XK469,1000,q75.TOF,-216.604166666667,0.899821825876178
CB4856,XK469,0,q75.TOF,-9.0625,2.47066616794178e-32
CB4856,XK469,250,q75.TOF,-89.0625,0.166602813220112
CB4856,XK469,500,q75.TOF,-202.0625,0.467529251418624
CB4856,XK469,1000,q75.TOF,-321.0625,0.899821825876178
N2,Amsacrine,0,q75.TOF,4.65909090909093,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,-85.8409090909091,0.275278928843269
N2,Amsacrine,25,q75.TOF,-35.5909090909091,0.191585438255204
N2,Amsacrine,50,q75.TOF,-134.840909090909,0.465490738283857
N2,Amsacrine,100,q75.TOF,-197.840909090909,0.539685279872395
JU258,Amsacrine,0,q75.TOF,-29.6875,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,-32.4375,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-71.9375,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-78.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-228.1875,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,4.60416666666669,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,-29.6458333333333,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,-29.1458333333333,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,-34.8958333333333,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-128.895833333333,0.539685279872395
DL238,Amsacrine,0,q75.TOF,-55.0681818181818,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,4.93181818181819,0.275278928843269
DL238,Amsacrine,25,q75.TOF,-68.5681818181818,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-66.5681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-140.818181818182,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,1.60416666666669,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,88.6041666666667,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,51.8541666666667,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,-68.3958333333333,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-157.895833333333,0.539685279872395
N2,Amsacrine,0,q75.TOF,59.9090909090909,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,22.6590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,-50.8409090909091,0.191585438255204
N2,Amsacrine,50,q75.TOF,-88.8409090909091,0.465490738283857
N2,Amsacrine,100,q75.TOF,-188.590909090909,0.539685279872395
DL238,Amsacrine,0,q75.TOF,-3.81818181818181,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,-36.0681818181818,0.275278928843269
DL238,Amsacrine,25,q75.TOF,-42.0681818181818,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-34.0681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-99.0681818181818,0.539685279872395
JU258,Amsacrine,0,q75.TOF,52.0625,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,-5.4375,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-67.9375,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-120.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-194.4375,0.539685279872395
DL238,Amsacrine,0,q75.TOF,28.9318181818182,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,0.931818181818187,0.275278928843269
